Model,CLS,CTX,HYB,Tokens,Window,Rank,Language,MeanSim,Family
mbert,true,false,false,200,2,1,lug,0.9812,Bantu
mbert,true,false,false,200,2,2,kin,0.9737,Bantu
mbert,true,false,false,200,2,3,twi,0.9737,Kwa
mbert,true,false,false,200,2,4,luo,0.9723,Nilotic
mbert,true,false,false,200,2,5,swa,0.9708,Bantu
mbert,true,false,false,200,2,6,ibo,0.966,Volta-Niger
mbert,true,false,false,200,2,7,ewe,0.9546,Kwa
mbert,true,false,false,200,2,8,tsn,0.9517,Bantu
mbert,true,false,false,200,2,9,nya,0.9514,Bantu
mbert,true,false,false,200,2,10,sna,0.9507,Bantu
mbert,true,false,false,200,2,11,bam,0.946,Mande
mbert,true,false,false,200,2,12,zul,0.941,Bantu
mbert,true,false,false,200,2,13,fon,0.9397,Kwa
mbert,true,false,false,200,2,14,hau,0.9396,Chadic
mbert,true,false,false,200,2,15,pcm,0.9346,English Creole
mbert,true,false,false,200,2,16,wol,0.9304,Atlantic-Congo
mbert,true,false,false,200,2,17,xho,0.9282,Bantu
mbert,true,false,false,200,2,18,mos,0.9276,Gur
mbert,true,false,false,200,2,19,bbj,0.9091,Bantu
mbert,true,false,false,200,2,20,yor,0.8971,Volta-Niger
mbert,true,false,true,300,1,1,lug,0.6873,Bantu
mbert,true,false,true,300,1,2,twi,0.6605,Kwa
mbert,true,false,true,300,1,3,luo,0.6497,Nilotic
mbert,true,false,true,300,1,4,ibo,0.6453,Volta-Niger
mbert,true,false,true,300,1,5,swa,0.6425,Bantu
mbert,true,false,true,300,1,6,kin,0.6414,Bantu
mbert,true,false,true,300,1,7,sna,0.6335,Bantu
mbert,true,false,true,300,1,8,tsn,0.6257,Bantu
mbert,true,false,true,300,1,9,nya,0.625,Bantu
mbert,true,false,true,300,1,10,ewe,0.6244,Kwa
mbert,true,false,true,300,1,11,pcm,0.6218,English Creole
mbert,true,false,true,300,1,12,hau,0.6125,Chadic
mbert,true,false,true,300,1,13,zul,0.6099,Bantu
mbert,true,false,true,300,1,14,fon,0.6081,Kwa
mbert,true,false,true,300,1,15,xho,0.6073,Bantu
mbert,true,false,true,300,1,16,bam,0.6055,Mande
mbert,true,false,true,300,1,17,wol,0.5967,Atlantic-Congo
mbert,true,false,true,300,1,18,mos,0.5898,Gur
mbert,true,false,true,300,1,19,bbj,0.5726,Bantu
mbert,true,false,true,300,1,20,yor,0.5433,Volta-Niger
mbert,true,false,true,300,0,1,lug,0.6873,Bantu
mbert,true,false,true,300,0,2,twi,0.6605,Kwa
mbert,true,false,true,300,0,3,luo,0.6497,Nilotic
mbert,true,false,true,300,0,4,ibo,0.6453,Volta-Niger
mbert,true,false,true,300,0,5,swa,0.6425,Bantu
mbert,true,false,true,300,0,6,kin,0.6414,Bantu
mbert,true,false,true,300,0,7,sna,0.6335,Bantu
mbert,true,false,true,300,0,8,tsn,0.6257,Bantu
mbert,true,false,true,300,0,9,nya,0.625,Bantu
mbert,true,false,true,300,0,10,ewe,0.6244,Kwa
mbert,true,false,true,300,0,11,pcm,0.6218,English Creole
mbert,true,false,true,300,0,12,hau,0.6125,Chadic
mbert,true,false,true,300,0,13,zul,0.6099,Bantu
mbert,true,false,true,300,0,14,fon,0.6081,Kwa
mbert,true,false,true,300,0,15,xho,0.6073,Bantu
mbert,true,false,true,300,0,16,bam,0.6055,Mande
mbert,true,false,true,300,0,17,wol,0.5967,Atlantic-Congo
mbert,true,false,true,300,0,18,mos,0.5898,Gur
mbert,true,false,true,300,0,19,bbj,0.5726,Bantu
mbert,true,false,true,300,0,20,yor,0.5433,Volta-Niger
mbert,true,false,true,200,1,1,lug,0.6825,Bantu
mbert,true,false,true,200,1,2,twi,0.658,Kwa
mbert,true,false,true,200,1,3,luo,0.6498,Nilotic
mbert,true,false,true,200,1,4,ibo,0.6476,Volta-Niger
mbert,true,false,true,200,1,5,kin,0.6443,Bantu
mbert,true,false,true,200,1,6,swa,0.638,Bantu
mbert,true,false,true,200,1,7,sna,0.6352,Bantu
mbert,true,false,true,200,1,8,pcm,0.6225,English Creole
mbert,true,false,true,200,1,9,tsn,0.6185,Bantu
mbert,true,false,true,200,1,10,ewe,0.6175,Kwa
mbert,true,false,true,200,1,11,nya,0.6154,Bantu
mbert,true,false,true,200,1,12,hau,0.6081,Chadic
mbert,true,false,true,200,1,13,fon,0.6053,Kwa
mbert,true,false,true,200,1,14,xho,0.6048,Bantu
mbert,true,false,true,200,1,15,bam,0.6037,Mande
mbert,true,false,true,200,1,16,zul,0.6004,Bantu
mbert,true,false,true,200,1,17,wol,0.5932,Atlantic-Congo
mbert,true,false,true,200,1,18,mos,0.5858,Gur
mbert,true,false,true,200,1,19,bbj,0.5728,Bantu
mbert,true,false,true,200,1,20,yor,0.5472,Volta-Niger
mbert,true,false,true,500,2,1,lug,0.6867,Bantu
mbert,true,false,true,500,2,2,twi,0.6535,Kwa
mbert,true,false,true,500,2,3,luo,0.652,Nilotic
mbert,true,false,true,500,2,4,ibo,0.6389,Volta-Niger
mbert,true,false,true,500,2,5,swa,0.6382,Bantu
mbert,true,false,true,500,2,6,sna,0.636,Bantu
mbert,true,false,true,500,2,7,kin,0.6351,Bantu
mbert,true,false,true,500,2,8,ewe,0.625,Kwa
mbert,true,false,true,500,2,9,pcm,0.6234,English Creole
mbert,true,false,true,500,2,10,nya,0.6233,Bantu
mbert,true,false,true,500,2,11,hau,0.6108,Chadic
mbert,true,false,true,500,2,12,xho,0.608,Bantu
mbert,true,false,true,500,2,13,zul,0.6079,Bantu
mbert,true,false,true,500,2,14,tsn,0.6073,Bantu
mbert,true,false,true,500,2,15,fon,0.6046,Kwa
mbert,true,false,true,500,2,16,bam,0.6036,Mande
mbert,true,false,true,500,2,17,wol,0.5987,Atlantic-Congo
mbert,true,false,true,500,2,18,mos,0.5952,Gur
mbert,true,false,true,500,2,19,bbj,0.571,Bantu
mbert,true,false,true,500,2,20,yor,0.5498,Volta-Niger
mbert,true,false,true,400,3,1,lug,0.6919,Bantu
mbert,true,false,true,400,3,2,twi,0.6542,Kwa
mbert,true,false,true,400,3,3,luo,0.6527,Nilotic
mbert,true,false,true,400,3,4,ibo,0.6416,Volta-Niger
mbert,true,false,true,400,3,5,sna,0.6357,Bantu
